0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 200 82156
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 200 100174
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 200 12377
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 200 81363
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 200 25598
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 200 122008
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 200 15876
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 200 58756
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/team/team-1.jpg HTTP/1.1" 200 40201
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/team/team-2.jpg HTTP/1.1" 200 49059
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/team/team-3.jpg HTTP/1.1" 200 36680
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/team/team-4.jpg HTTP/1.1" 200 27423
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 200 112440
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/more-services-1.jpg HTTP/1.1" 200 27345
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/more-services-2.jpg HTTP/1.1" 200 16193
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/more-services-3.jpg HTTP/1.1" 200 65711
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/more-services-4.jpg HTTP/1.1" 200 47218
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
